1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	E	68
1	J	68
3	R	68
3	W	74
1	R	74
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	107
4	W	107
5	R	107
4	J	109
5	E	110
4	R	110
4	W	115
0	R	115
4	J	123
4	R	123
4	W	123
0	R	123
4	J	134
4	R	134
4	W	135
0	R	135
4	J	151
4	R	151
4	W	151
0	R	151
4	J	165
4	R	165
4	W	165
0	R	165
4	J	176
4	R	176
4	W	176
0	R	176
4	J	178
4	R	178
4	W	178
0	R	178
4	J	188
4	R	188
4	W	188
0	R	188
4	J	212
4	R	212
4	W	212
0	R	212
4	J	232
4	R	232
4	W	232
0	R	232
4	J	238
4	R	238
4	W	238
0	R	238
4	J	249
4	R	249
4	W	249
0	R	249
4	J	258
4	R	258
4	W	258
0	R	258
4	J	269
4	R	269
4	W	269
0	R	269
4	J	288
4	R	288
6	N	289
6	J	289
4	J	290
6	R	290
7	N	291
7	J	292
8	N	292
8	J	292
9	N	293
9	J	293
10	N	293
10	J	294
11	N	294
11	J	294
12	N	294
12	J	295
13	N	295
13	J	296
14	N	296
14	J	296
15	N	296
15	J	297
16	N	297
16	J	298
6	W	299
16	R	299
16	J	319
15	R	319
15	J	339
14	R	339
14	J	359
13	R	359
13	J	379
12	R	379
12	J	399
11	R	399
11	J	419
10	R	419
10	J	439
9	R	439
9	J	459
8	R	459
8	J	479
7	R	479
7	W	479
16	R	479
16	J	499
15	R	499
15	J	519
14	R	519
14	J	539
13	R	539
13	J	559
12	R	559
12	J	579
11	R	579
7	J	599
11	J	599
7	R	599
7	W	599
10	R	599
10	J	619
9	R	619
9	J	639
8	R	639
8	J	659
4	R	659
4	W	659
16	R	659
16	J	679
15	R	679
15	J	699
14	R	699
7	J	719
14	J	719
7	R	719
7	W	719
13	R	719
13	J	739
12	R	739
12	J	759
11	R	759
11	J	779
10	R	779
10	J	799
9	R	799
9	J	819
8	R	819
7	J	839
8	J	839
7	R	839
7	W	839
16	R	839
16	J	859
15	R	859
15	J	879
14	R	879
14	J	899
13	R	899
13	J	919
12	R	919
12	J	939
11	R	939
7	J	959
11	J	959
7	R	959
7	W	959
10	R	959
10	J	979
9	R	979
9	J	999
8	R	999
8	J	1019
16	R	1019
16	J	1039
15	R	1039
15	J	1059
14	R	1059
7	J	1079
14	J	1079
7	R	1079
7	W	1079
13	R	1079
13	J	1099
12	R	1099
12	J	1119
11	R	1119
11	J	1139
10	R	1139
10	J	1159
9	R	1159
9	J	1179
8	R	1179
7	J	1199
8	J	1199
7	R	1199
7	W	1199
16	R	1199
16	J	1219
15	R	1219
15	J	1239
14	R	1239
14	J	1259
13	R	1259
13	J	1279
12	R	1279
12	J	1299
11	R	1299
7	J	1319
11	J	1319
7	R	1319
7	W	1319
10	R	1319
10	J	1339
9	R	1339
9	J	1359
8	R	1359
8	J	1379
16	R	1379
16	J	1399
15	R	1399
15	J	1419
14	R	1419
7	J	1439
14	J	1439
7	R	1439
7	W	1439
13	R	1439
13	J	1459
12	R	1459
12	J	1479
11	R	1479
11	J	1499
10	R	1499
10	J	1519
9	R	1519
9	J	1539
8	R	1539
7	J	1559
8	J	1559
7	R	1559
7	W	1559
16	R	1559
16	J	1579
15	R	1579
15	J	1599
14	R	1599
14	J	1619
13	R	1619
13	J	1639
12	R	1639
12	J	1659
11	R	1659
7	J	1679
11	J	1679
7	R	1679
7	W	1679
10	R	1679
10	J	1699
9	R	1699
9	J	1719
8	R	1719
8	J	1739
16	R	1739
16	J	1759
15	R	1759
15	J	1779
14	R	1779
7	J	1799
14	J	1799
7	R	1799
7	W	1799
13	R	1799
13	J	1819
12	R	1819
12	J	1839
11	R	1839
11	J	1859
